transaction_id,order_date,customer_id,customer_name,country,product_id,product_category,quantity,price,payment_method,order_status
T44,2025-08-20,C85,Meghan Harris,CA,P53,Clothing,5,429.46,Debit Card,Cancelled
T45,2025-04-04,C254,Tara Austin,UK,P89,Electronics,5,297.43,Debit Card,Cancelled
T46,2025-12-30,C100,Michelle Gonzalez,US,P162,Home,2,311.59,PayPal,Completed
T47,2025-12-24,C8,Jonathan Thompson,US,P2,Home,4,303.58,Credit Card,Completed
T48,2025-07-21,C258,Ruben Pugh,DE,P90,Sports,4,412.28,Debit Card,Returned
T49,2025-07-07,C60,Casey Gentry,DE,P186,Books,3,146.16,UPI,Returned
T50,2025-04-14,C48,Richard Howard,CA,P25,Electronics,3,428.34,PayPal,Completed
T51,2025-09-15,C21,Erin Ortega,UK,P67,Electronics,4,175.23,UPI,Cancelled
T52,2025-11-29,C215,Kristina Robertson,AU,P172,Books,2,139.66,PayPal,Cancelled
T53,2025-06-19,C131,Joshua Soto,CA,P153,Clothing,1,207.28,UPI,Returned
T54,2025-10-18,C194,Sherri Porter,IN,P187,Home,4,140.12,UPI,Completed
T55,2026-03-02,,Jennifer Bennett,CA,P131,Books,3,74.71,UPI,Returned
T56,2025-07-07,C216,Brooke Bond,UK,P82,Home,5,227.24,UPI,Returned
T57,2025-08-11,C213,Tammy Greer,AU,P137,Sports,3,254.74,PayPal,Cancelled
T58,2026-01-24,C195,Julie Wilson,DE,P128,Sports,1,235.58,Debit Card,Completed
T59,2025-04-20,C170,Kimberly Wright,DE,P10,Electronics,2,281.29,PayPal,Cancelled
T60,2025-10-26,C262,Micheal Hill,IN,P159,Clothing,4,460.54,UPI,Completed
T61,2026-03-08,C274,Daniel Bauer,AU,P52,Home,3,16.09,Credit Card,Completed
T62,2025-06-27,C173,Gregory Rhodes,UK,P107,Electronics,3,48.11,Debit Card,Returned
T63,2025-04-28,C209,Joseph Adams,US,P104,Electronics,3,154.81,UPI,Returned
T64,2025-06-07,C45,Allison Moody DDS,CA,P1,Electronics,4,57.02,UPI,Returned
T65,2025-12-24,C199,Julie Goodwin,DE,P101,Clothing,2,35.5,Debit Card,Returned
T66,2025-06-01,C106,Marcus Scott,DE,P56,Sports,1,435.39,UPI,Completed
T67,2025-08-03,C103,Brent Stewart,IN,P113,Electronics,5,330.01,Debit Card,Cancelled
T68,2025-04-26,C250,Teresa Martinez,IN,P174,Sports,4,178.36,UPI,Returned
T69,2025-05-07,C234,Eric Roy,XYZ,P81,Books,5,23.93,Debit Card,Returned
T70,2025-07-26,C92,Xavier Holmes,AU,P76,Sports,2,119.23,Credit Card,Returned
T71,2025-11-18,C275,Martin Charles,AU,P3,Clothing,1,265.55,Debit Card,Cancelled
T72,2026-01-22,C231,Kerry Richardson,US,P150,Electronics,4,340.56,Credit Card,Cancelled
T73,2025-08-29,C184,Timothy Copeland,US,P98,Home,4,431.33,Credit Card,Returned
T74,2025-06-06,C248,Kimberly Cisneros,FR,P1,Sports,3,375.81,Credit Card,Returned
T75,2025-05-08,C287,Frederick Morrow,DE,P120,Home,3,97.41,UPI,Cancelled
T76,2025-05-12,C253,Shannon Avila,AU,P27,Home,4,406.64,UPI,Completed
T77,2025-08-13,C139,Dominique Vasquez,US,P167,Electronics,5,488.91,Credit Card,Returned
T78,2025-07-18,C246,Anthony Smith,UK,P91,Home,4,158.28,Debit Card,Returned
T79,2025-10-11,C284,Matthew Steele,CA,P177,Electronics,2,454.88,Credit Card,Cancelled
T80,2025-05-17,C227,Richard Hunter,CA,P157,Home,1,225.35,Debit Card,Returned
T81,2025-05-08,C112,Douglas Sheppard,US,P198,Clothing,3,233.77,Debit Card,Returned
T82,2026-03-04,C170,James Hopkins,US,P91,Clothing,5,223.56,UPI,Cancelled
T83,2026-01-22,C90,Sabrina Spencer,CA,P53,Books,4,274.3,UPI,Cancelled
T84,2025-03-16,C280,Emily Hicks,FR,P29,Sports,4,310.33,PayPal,Cancelled
T1,2025-05-03,C268,Jordan Harvey,IN,P167,Home,4,250.31,Debit Card,Returned
T86,2025-07-11,C89,James Alvarado,AU,P84,Home,1,350.73,UPI,Returned
T87,2025-07-15,C135,Richard Anderson,DE,P195,Clothing,2,351.29,Debit Card,Completed
T88,2025-07-03,C97,Micheal Lambert,CA,P15,Home,5,292.54,PayPal,Completed
T89,2025-04-14,C62,Isaac Miller,AU,P107,Sports,5,304.33,Credit Card,Returned
T90,2025-07-29,C236,Jordan Huffman,CA,P62,Home,2,135.65,Debit Card,Returned
T91,2025-10-25,C75,Natalie Woods,CA,P137,Electronics,5,249.12,UPI,Completed
T92,2025-10-24,C6,Katherine Jones,UK,P38,Electronics,5,55.39,Credit Card,Cancelled
T93,2025-11-03,C282,Sylvia Hester,DE,P4,Electronics,4,365.58,UPI,Cancelled
T94,2026-04-15 12:42:24.028374,C118,Wayne Ortiz,CA,P162,Books,5,360.67,UPI,Cancelled
T95,2025-09-16,C207,Leah Charles,IN,P110,Electronics,1,456.05,PayPal,Cancelled
T96,2026-01-08,C86,Richard Martin,DE,P107,Sports,3,379.67,UPI,Returned
T97,2025-06-25,C41,Donald Thompson,FR,P105,Sports,5,447.66,Credit Card,Returned
T98,2025-08-02,C299,John Miller,IN,P150,Clothing,2,296.4,PayPal,Cancelled
T99,2025-11-27,C249,Robin Foster,UK,P179,Electronics,2,187.69,UPI,Cancelled
T100,2025-05-20,C144,Ryan Johnson,FR,P159,Clothing,3,179.43,UPI,Cancelled
T101,2025-12-27,C150,Daniel Petty,CA,P200,Books,2,321.96,UPI,Cancelled
T102,2025-09-06,C22,Thomas Moss,DE,P133,Sports,2,198.83,Debit Card,Completed
T103,2025-05-04,C208,Richard Edwards,AU,P47,Electronics,5,499.63,Debit Card,Cancelled
T104,2025-08-08,C19,Melissa Garcia,US,P175,Books,4,412.99,Credit Card,Completed
T105,2026-01-04,C152,Pamela Howell,FR,P76,Home,5,458.41,Credit Card,Completed
T106,2025-04-18,C211,Kristin Williams,DE,P155,Sports,1,455.6,PayPal,Returned
T107,2025-08-30,C123,Michael Hayes,US,P174,Books,2,368.85,Debit Card,Cancelled
T108,2025-05-13,C1,Steven Patterson,DE,P20,Books,2,169.01,PayPal,Returned
T109,2026-04-15 12:42:24.027074,C105,Elizabeth Curtis,IN,P48,Home,1,156.25,Debit Card,Returned
T110,2025-04-04,C90,Kevin Williams,UK,P178,Clothing,1,398.79,Debit Card,Returned
T111,2025-10-10,C226,Terri Huff,IN,P124,Clothing,4,150.54,PayPal,Cancelled
T112,2025-03-15,C6,Angelica French,UK,P133,Electronics,2,152.34,UPI,Completed
T113,2025-08-27,C21,Daniel Williams,US,P125,Clothing,5,241.55,UPI,Completed
T114,2026-02-06,C165,David Stewart,UK,P65,Electronics,1,198.63,Debit Card,Cancelled
T115,2025-08-25,C132,Bryan Sullivan,CA,P82,Clothing,1,372.23,PayPal,Cancelled
T116,2025-06-08,C56,Logan Cain,AU,P76,Clothing,2,217.24,PayPal,Completed
T117,2026-02-26,C103,Jordan Elliott,DE,P79,Clothing,3,176.48,Debit Card,Completed
T118,2025-05-06,C298,Nathaniel Ruiz,US,P199,Clothing,2,56.74,Debit Card,Returned
T119,2025-09-06,C180,Jacqueline Jackson,IN,P180,Clothing,1,385.24,UPI,Cancelled
T120,2025-09-07,C167,Chad Jacobs,US,P25,Home,4,153.12,PayPal,Completed
T121,2026-03-04,C269,Donald Stevenson,AU,P44,Electronics,3,218.79,PayPal,Returned
T122,2025-12-03,C42,Ellen Vaughn,IN,P124,Clothing,4,60.43,Debit Card,Completed
T123,2025-12-11,C261,Frank Lynch,CA,P154,Sports,1,113.24,UPI,Returned
T124,2025-07-29,C198,Amy Reyes,US,P134,Sports,5,349.94,Debit Card,Completed
T125,2025-05-12,C236,Lisa Burke,CA,P59,Electronics,3,374.68,Debit Card,Cancelled
T126,2025-05-25,C56,Dr. Robert Bradley,AU,P119,Electronics,4,31.46,PayPal,Completed
T127,2025-09-23,C124,Richard Mckenzie,CA,P161,Books,-4,413.36,Debit Card,Returned
T128,2025-12-20,C201,Ethan Douglas,CA,P2,Electronics,2,241.91,PayPal,Returned
T129,2025-09-07,C189,Christopher Soto,UK,P40,Sports,5,208.63,Credit Card,Returned
T130,2025-04-22,C164,Stephanie Young,FR,P129,Sports,1,478.08,Debit Card,Cancelled
T131,2025-11-07,C288,Darin Osborn,CA,P159,Books,3,334.85,PayPal,Returned
T132,2025-06-12,C103,Katrina Thomas,US,P185,Electronics,5,452.76,Debit Card,Cancelled
T133,2025-10-01,C31,Cynthia Garcia,IN,P102,Home,4,237.06,Debit Card,Completed
T134,2026-02-18,C32,Natalie Anthony,AU,P189,Clothing,1,244.65,Credit Card,Returned
T135,2025-05-19,C109,Ruth Farrell,US,P73,Clothing,2,412.54,Debit Card,Completed
T136,2025-11-04,C283,Andrew Harris,UK,P146,Clothing,5,228.14,Debit Card,Returned
T137,2025-06-16,C128,Nicholas Rivera,AU,P193,Home,4,174.15,PayPal,Cancelled
T138,2025-12-28,C122,Justin Thomas,IN,P39,Books,4,14.06,Debit Card,Returned
T139,2025-10-29,C95,Susan Olson,DE,P41,Sports,2,499.12,UPI,Returned
T140,2025-04-06,C220,Morgan Harrell,AU,P144,Electronics,1,86.47,Credit Card,Returned
T141,2025-05-13,C73,Robert Kramer,CA,P181,Electronics,2,230.62,PayPal,Returned
T142,2025-11-12,C167,Amy Cunningham,UK,P35,Clothing,5,227.49,Debit Card,Cancelled
T143,2025-06-09,C3,Tyler David,CA,P70,Home,5,193.45,UPI,Cancelled
T144,2025-03-26,C246,Katie Mora,IN,P90,Home,1,23.75,PayPal,Cancelled
T145,2025-11-15,C15,John Green,US,P77,Sports,2,56.39,PayPal,Cancelled
T146,2026-01-28,C39,Dana Randall,FR,P80,Clothing,1,190.35,UPI,Completed
T147,2025-07-13,C128,Bethany Welch,UK,P50,Electronics,2,438.56,UPI,Completed
T148,2025-07-07,C22,Kevin Rivera,UK,P179,Sports,1,47.17,Credit Card,Returned
T149,2025-08-08,C60,Michael Bryant,IN,P162,Clothing,2,161.07,Debit Card,Returned
T150,2025-04-03,C70,Thomas Duncan,IN,P100,Books,1,417.37,PayPal,Completed
T151,2026-01-01,C161,Mark Reynolds,FR,P121,Sports,4,199.9,Debit Card,Completed
T152,2025-04-08,C284,Kaitlyn Davis,AU,P25,Electronics,5,315.88,Credit Card,Returned
T153,2026-04-15 12:42:24.025287,C295,Paul Yu,US,P164,Electronics,1,415.66,PayPal,Cancelled
T154,2026-02-24,C25,Jessica Keller,DE,P54,Books,2,398.39,UPI,Completed
T155,2025-07-28,C185,Christopher Miller,DE,P125,Books,1,27.88,Credit Card,Cancelled
T156,2025-12-28,C91,Billy Sanchez,CA,P150,Home,2,55.58,UPI,Returned
T157,2025-05-29,C202,Gregory Jones,AU,P141,Electronics,1,195.82,PayPal,Returned
T158,2025-09-03,C156,Margaret Walker,UK,P31,Books,1,459.0,Debit Card,Returned
T159,2025-06-25,C90,William Stout,CA,P151,Home,1,345.78,Credit Card,Cancelled
T160,2025-04-29,C46,Julie Cannon,AU,P62,Home,2,398.75,Credit Card,Completed
T161,2025-04-11,C84,Michael Nelson,FR,P174,Clothing,2,47.97,PayPal,Cancelled
T162,2026-02-28,C131,Joshua Kelley,AU,P95,Books,-4,232.47,Debit Card,Cancelled
T163,2025-06-10,C292,Joseph West,FR,P172,Electronics,2,479.38,Debit Card,Returned
T164,2025-09-12,C276,Jessica Miller,AU,P157,Books,4,494.82,Debit Card,Completed
T165,2026-01-26,C285,Kenneth Hughes,IN,P96,Books,2,231.95,PayPal,Cancelled
T166,2025-05-18,C110,Jesse Cisneros,US,P120,Home,3,218.55,Debit Card,Returned
T167,2025-05-07,C6,Keith Ramirez,FR,P130,Home,4,85.18,PayPal,Completed
T168,2025-11-21,C113,Suzanne Morales,FR,P169,Sports,5,43.7,Debit Card,Completed
T169,2025-12-16,C83,Louis Gutierrez,US,P185,Electronics,4,158.1,Debit Card,Returned
T170,2025-08-25,C29,Travis Reilly,IN,P194,Sports,1,211.43,Credit Card,Completed
T171,2025-12-09,C300,Travis Walsh,CA,P42,Clothing,2,29.19,PayPal,Completed
T172,2026-01-02,C267,Christine Jones,DE,P41,Electronics,5,359.98,Credit Card,Cancelled
T173,2025-04-14,C11,Jeffrey Russo,UK,P84,Books,5,272.32,Debit Card,Returned
T174,2025-08-27,C160,Kayla Bennett,DE,P43,Electronics,2,491.62,PayPal,Cancelled
T175,2026-02-09,C22,Jennifer Lutz,UK,P27,Sports,3,333.11,UPI,Cancelled
T176,2025-08-01,C294,Karla Clarke,UK,P91,Books,1,179.64,UPI,Returned
T177,2025-12-08,C251,Geoffrey Miller,IN,P138,Sports,2,332.56,Credit Card,Completed
T178,2026-02-13,C193,Wendy Campbell,IN,P66,Electronics,2,440.18,Debit Card,Completed
T179,2025-06-08,C18,Sara Nelson,AU,P125,Sports,3,468.2,PayPal,Cancelled
T180,2025-04-26,C277,Melissa Williams,FR,P120,Sports,2,494.64,PayPal,Completed
T181,2025-03-27,C99,Sara Ruiz,AU,P47,Clothing,2,107.19,UPI,Completed
T182,2026-02-14,C1,Tony Howard,CA,P197,Sports,3,356.74,Credit Card,Completed
T183,2026-02-03,C238,Lauren Bradshaw,US,P119,Sports,2,383.21,Debit Card,Returned
T184,2026-01-27,C49,Dana Guzman,CA,P85,Clothing,3,179.94,UPI,Returned
T185,2026-01-05,C19,William Duran,CA,P167,Books,2,296.9,PayPal,Completed
T186,2025-08-27,C200,Christie Johnson,IN,P24,Home,3,401.71,Debit Card,Cancelled
T187,2026-04-15 12:42:24.025000,C37,Donald Myers,US,P78,Home,3,324.02,PayPal,Cancelled
T188,2025-08-31,C207,Deborah Hernandez,US,P107,Home,5,171.31,Debit Card,Cancelled
T189,2025-05-03,C117,Stacy Thornton,US,P167,Home,3,106.6,Credit Card,Returned
T190,2025-04-28,C73,Tiffany Cameron,DE,P82,Books,2,321.3,PayPal,Completed
T191,2025-10-27,C236,Mr. Billy Banks,CA,P39,Clothing,4,245.95,Debit Card,Cancelled
T192,2025-11-13,C189,Jimmy Hayes,AU,P135,Clothing,4,286.62,PayPal,Cancelled
T193,2025-08-24,C130,Joseph Cooper,CA,P82,Sports,1,122.19,PayPal,Cancelled
T194,2025-03-18,C255,Charles Vincent,AU,P14,Sports,4,466.79,Credit Card,Completed
T195,2026-01-04,C213,Mark Harrison,UK,P69,Clothing,1,32.38,Credit Card,Cancelled
T196,2025-10-10,C77,Erin Hamilton,US,P142,Electronics,3,268.85,PayPal,Returned
T197,2025-11-29,C96,Joe Mitchell,US,P125,Clothing,3,33.0,PayPal,Completed
T198,2026-01-28,C295,Ms. Kimberly Bond,CA,P114,Home,1,346.15,PayPal,Completed
T199,2025-07-29,C122,Anita Liu,US,P50,Clothing,4,334.15,UPI,Cancelled
T200,2025-08-25,C215,Tiffany Austin,US,P46,Sports,5,292.05,PayPal,Returned
T201,2025-05-26,C120,John Clark,CA,P106,Home,3,315.27,Credit Card,Cancelled
T202,2026-01-08,C47,Bernard Haas,FR,P53,Home,2,365.34,PayPal,Returned
T203,2025-10-30,C174,Mark Richards,FR,P104,Sports,2,493.81,PayPal,Cancelled
T204,2025-12-29,C149,James Lewis,US,P26,Sports,4,26.47,Debit Card,Cancelled
T205,2025-10-07,C280,Debra Stewart,AU,P151,Clothing,2,182.91,Credit Card,Cancelled
T206,2026-01-08,C69,Jerry Morgan,IN,P102,Home,1,62.62,Debit Card,Returned
T207,2025-06-10,C294,Matthew Thompson,IN,P190,Home,4,281.79,Debit Card,Returned
T208,2025-08-08,C164,Teresa Hickman,UK,P26,Clothing,1,78.22,Debit Card,Completed
T209,2026-01-18,C104,Ryan Fisher,UK,P54,Clothing,2,312.47,UPI,Cancelled
T210,2025-07-07,C195,Tammy Brewer,US,P14,Home,3,76.22,UPI,Returned
T211,2025-03-21,C279,Madison King,DE,P31,Sports,4,309.97,PayPal,Cancelled
T212,2025-12-26,C71,Martha Rubio,AU,P153,Electronics,3,404.68,Debit Card,Completed
T213,2025-09-22,C189,Emily Macdonald,FR,P195,Clothing,4,385.24,UPI,Completed
T214,2025-06-06,C51,James Manning,UK,P64,Sports,1,251.91,Credit Card,Cancelled
T215,2025-12-03,C29,James Santiago,CA,P199,Sports,3,158.09,UPI,Completed
T216,2025-03-31,C263,Christopher Williams,AU,P189,Electronics,1,252.99,Debit Card,Cancelled
T217,2025-06-15,C127,Luke Miller,AU,P94,Electronics,2,131.9,Credit Card,Returned
T218,2025-04-01,C64,Eric Aguilar,DE,P137,Home,3,98.09,UPI,Cancelled
T219,2025-05-21,C129,Heather Ritter,IN,P162,Home,3,46.77,Debit Card,Returned
T220,2025-09-21,C111,Richard Berger,AU,P167,Books,5,108.1,UPI,Returned
T221,2025-04-02,C208,Kenneth Hendricks,FR,P96,Sports,5,56.28,Credit Card,Returned
T222,2026-02-12,C198,Isabella Washington,UK,P122,Electronics,2,29.14,Credit Card,Completed
T223,2025-04-08,C61,Douglas Bennett,XYZ,P129,Sports,5,286.79,PayPal,Returned
T224,2025-09-03,C77,Erik Rojas,CA,P20,Sports,2,352.2,Debit Card,Cancelled
T225,2025-11-27,C216,Mr. David Duffy,DE,P191,Sports,5,304.44,PayPal,Completed
T226,2025-08-03,C125,Nathan Black,DE,P15,Books,1,247.64,Debit Card,Cancelled
T227,2025-06-16,C158,Aaron Wood,CA,P111,Books,2,25.87,PayPal,Cancelled
T228,2025-06-23,C2,Amy King,US,P158,Sports,1,99.3,PayPal,Returned
T229,2025-11-30,C207,Jennifer Villa,UK,P140,Electronics,5,19.88,Debit Card,Cancelled
T230,2026-02-27,C7,Heather Odom,US,P196,Sports,5,15.34,Debit Card,Returned
T231,2026-02-01,C9,Regina Jones,FR,P160,Sports,3,-8.36067226713001,UPI,Cancelled
T232,2026-01-29,C116,Vanessa Murphy,UK,P88,Clothing,2,473.99,Credit Card,Completed
T233,2025-06-10,C204,Steven Matthews,FR,P66,Sports,4,291.58,Debit Card,Completed
T234,2025-09-11,C83,Mary Smith,CA,P34,Books,3,21.86,UPI,Cancelled
T235,2025-07-18,C41,Alicia Clark,US,P112,Electronics,4,400.75,Credit Card,Returned
T1,2025-03-21,C135,Sandra Hines,AU,P170,Books,5,128.64,Debit Card,Returned
T237,2025-03-19,C283,Becky Morgan,AU,P39,Electronics,2,326.16,PayPal,Cancelled
T238,2025-12-27,C234,Bryan Nelson,AU,P62,Clothing,1,14.58,Debit Card,Completed
T239,2025-05-09,C109,Harold Contreras,UK,P165,Home,4,269.03,PayPal,Completed
T240,2025-11-21,C212,Jonathan Savage,FR,P100,Home,2,469.3,Debit Card,Completed
T1,2026-01-12,C75,Lisa Pace,UK,P121,Home,2,89.54,Debit Card,Cancelled
T242,2025-03-27,C43,Shawn Taylor,UK,P58,Electronics,3,353.55,UPI,Returned
T243,2025-04-13,C95,Sabrina Hodges,AU,P15,Sports,1,370.48,PayPal,Completed
T244,2025-06-10,C159,Deborah Wilson,UK,P187,Electronics,3,191.46,Debit Card,Returned
T245,2025-09-07,C54,Sarah Moreno,IN,P3,Clothing,1,83.92,Credit Card,Returned
T246,2025-10-20,C65,Kyle Miller,CA,P72,Home,3,81.07,Credit Card,Returned
T247,2025-12-14,C194,Dr. Keith Williams,CA,P22,Sports,1,426.74,UPI,Cancelled
T248,2025-09-01,C258,Julie Brown,DE,P56,Home,4,328.79,Debit Card,Completed
T249,2025-10-04,C6,James Hernandez,AU,P159,Electronics,2,359.34,PayPal,Returned
T250,2026-02-17,C194,Gilbert Norman,IN,P32,Clothing,1,133.38,Credit Card,Completed
T251,2025-05-02,,Annette Myers,FR,P169,Home,2,263.41,PayPal,Returned
T252,2025-12-13,C105,Sarah Velez,CA,P32,Sports,4,80.16,Credit Card,Completed
T253,2025-05-15,C262,Christy Rocha,AU,P94,Electronics,2,322.09,Credit Card,Completed
T254,2025-08-26,C113,Paul Howell,FR,P115,Sports,1,283.58,UPI,Completed
T255,2025-08-28,C18,Matthew Valdez,US,P90,Sports,1,233.72,UPI,Returned
T256,2025-05-27,C26,Michael Jones,AU,P85,Books,1,47.84,Debit Card,Cancelled
T257,2025-10-04,,Kelly Boyer,US,P167,Clothing,4,324.0,Debit Card,Cancelled
T258,2025-11-01,C238,Catherine Wilson,AU,P41,Electronics,1,70.59,Credit Card,Completed
T259,2026-02-19,C198,Dorothy Smith,DE,P93,Sports,1,12.41,UPI,Cancelled
T260,2025-05-07,C143,Stephanie Lopez,UK,P90,Sports,3,361.82,PayPal,Cancelled
T1,2025-05-19,C175,Zachary Munoz,DE,P162,Clothing,-4,367.84,Credit Card,Completed
T262,2025-07-15,C184,Morgan Jimenez,CA,P178,Sports,1,340.9,PayPal,Cancelled
T263,2025-07-27,C208,Jerome Mendez,FR,P98,Books,2,123.95,Debit Card,Returned
T264,2025-07-10,C81,Cody Miller,DE,P172,Electronics,4,417.59,Debit Card,Returned
T265,2025-08-24,C247,Gerald Greene,CA,P154,Home,3,119.79,UPI,Completed
T266,2025-12-19,C147,Dustin Williams,US,P133,Electronics,4,370.27,UPI,Completed
T267,2025-11-23,C287,Brian Pennington,DE,P112,Home,1,447.41,UPI,Completed
T268,2025-11-29,C134,Nicholas Fitzgerald,DE,P140,Electronics,5,337.77,Credit Card,Returned
T269,2025-11-01,C183,Cheryl Flores,DE,P7,Clothing,2,81.32,UPI,Returned
T1,2025-03-25,C40,Joshua Wright,US,P164,Electronics,4,257.1,Debit Card,Cancelled
T271,2026-01-06,C131,Kimberly Fernandez,US,P121,Books,5,157.13,PayPal,Completed
T272,2026-03-04,C151,Terry Hamilton,UK,P44,Home,1,251.88,Credit Card,Completed
T273,2025-04-29,C47,David Dixon,IN,P4,Electronics,5,417.26,PayPal,Cancelled
T274,2025-07-08,C105,Laura Campbell,FR,P121,Books,5,352.61,Debit Card,Completed
T275,2025-04-27,C77,Jeffrey Dominguez,UK,P8,Electronics,3,104.19,Debit Card,Returned
T276,2025-10-11,C184,Kara Bean,US,P109,Home,4,106.74,Credit Card,Returned
T277,2025-03-28,C28,Heather Smith,US,P191,Home,4,72.73,PayPal,Returned
T278,2025-04-08,C132,Vincent Shaw,IN,P129,Sports,3,217.38,Debit Card,Completed
T279,2025-11-29,C253,Stephanie Smith,DE,P118,Sports,3,355.75,Debit Card,Cancelled
T280,2025-04-14,C51,Rebekah Lozano,AU,P142,Sports,4,117.06,Debit Card,Completed
T281,2025-05-26,C1,Jenna Cross,FR,P176,Sports,1,184.76,PayPal,Returned
T282,2025-11-27,C227,Tina Perez,UK,P126,Books,4,213.05,Credit Card,Returned
T283,2026-01-22,C299,Karen Lewis,US,P166,Home,5,47.75,Debit Card,Returned
T284,2026-02-20,C96,Shawn Peterson,FR,P8,Home,3,76.44,Debit Card,Completed
T285,2025-12-18,C244,David May,AU,P3,Home,1,64.32,Credit Card,Completed
T286,2025-11-20,C132,Karen Richardson,AU,P103,Sports,2,488.11,Debit Card,Cancelled
T287,2025-05-01,C13,Karen Hayes,AU,P194,Clothing,3,367.13,Credit Card,Completed
T288,2025-06-10,C188,Brandon Ayers,IN,P36,Electronics,1,289.98,Credit Card,Returned
T289,2025-03-15,C215,Lauren Perez,IN,P188,Home,4,380.05,UPI,Cancelled
T290,2025-04-25,C209,Tiffany Ford,US,P173,Clothing,1,248.67,Debit Card,Completed
T291,2025-04-22,C203,Pamela Myers,IN,P21,Electronics,2,143.78,UPI,Cancelled
T292,2026-01-08,C257,Daniel Shaw,CA,P134,Sports,2,239.61,PayPal,Completed
T293,2025-10-22,C96,Julie Potts,DE,P194,Electronics,2,462.13,Debit Card,Completed
